Date,Close/Last,Volume,Open,High,Low,Close,SMA_5,SMA_10,SMA_20,EMA_5,EMA_10,EMA_20,RSI,Daily_Return,MACD,MACD_Signal,MACD_Histogram,Bollinger_Middle,Bollinger_Std,Bollinger_Upper,Bollinger_Lower,ATR,OBV,Sentiment
2024-08-30,$229.00,52990770,230.19,230.4,227.48,229.0,228.098,227.066,221.891,228.139,226.692,224.426,61.662,-0.344,2.731,2.163,0.568,221.891,7.105,236.101,207.681,3.669,1193261650.0,-0.836
2024-09-03,$222.77,50190570,228.55,229.0,221.17,222.77,227.216,226.754,222.566,226.349,225.979,224.269,49.387,-2.721,2.26,2.183,0.077,222.566,6.454,235.474,209.658,3.917,1143071080.0,-0.183
2024-09-04,$220.85,43840200,221.66,221.78,217.48,220.85,225.78,226.188,223.247,224.516,225.046,223.943,46.326,-0.862,1.712,2.089,-0.377,223.247,5.38,234.007,212.487,4.057,1099230880.0,-0.217
2024-09-05,$222.38,36615400,221.625,225.48,221.52,222.38,224.958,225.786,223.875,223.804,224.561,223.794,49.036,0.693,1.386,1.948,-0.562,223.875,4.368,232.611,215.139,4.128,1135846280.0,0.023
2024-09-06,$220.82,48423010,223.95,225.24,219.77,220.82,223.164,225.415,224.251,222.809,223.881,223.511,46.46,-0.702,0.989,1.756,-0.767,224.251,3.681,231.613,216.889,4.292,1087423270.0,-0.254
2024-09-09,$220.91,67179970,220.82,221.27,216.71,220.91,221.546,224.822,224.484,222.176,223.341,223.263,46.634,0.041,0.675,1.54,-0.865,224.484,3.271,231.026,217.942,4.403,1154603240.0,-0.033
2024-09-10,$220.11,51591030,218.92,221.48,216.73,220.11,221.014,224.115,224.613,221.488,222.753,222.963,45.226,-0.362,0.357,1.303,-0.946,224.613,3.024,230.661,218.565,4.619,1103012210.0,-0.007
2024-09-11,$222.66,44587070,221.455,223.09,217.89,222.66,221.376,223.578,224.683,221.878,222.736,222.934,50.371,1.159,0.307,1.104,-0.797,224.683,2.959,230.601,218.765,4.781,1147599280.0,0.087
2024-09-12,$222.77,37498230,222.5,223.55,219.82,222.77,221.454,223.206,224.735,222.176,222.743,222.918,50.587,0.049,0.273,0.938,-0.665,224.735,2.912,230.559,218.911,4.731,1185097510.0,0.049
2024-09-13,$222.50,36766620,223.58,224.04,221.91,222.5,221.79,222.477,224.624,222.284,222.698,222.879,50.013,-0.121,0.222,0.795,-0.573,224.624,2.955,230.534,218.714,4.605,1148330890.0,-0.342
2024-09-16,$216.32,59357430,216.54,217.22,213.92,216.32,220.872,221.209,224.138,220.296,221.539,222.254,39.075,-2.778,-0.313,0.573,-0.886,224.138,3.465,231.068,217.208,4.976,1088973460.0,0.192
2024-09-17,$216.79,45519340,215.75,216.9,214.5,216.79,220.208,220.611,223.683,219.127,220.675,221.734,40.147,0.217,-0.692,0.32,-1.012,223.683,3.803,231.289,216.077,4.864,1134492800.0,0.04
2024-09-18,$220.69,59894930,217.55,222.71,217.54,220.69,219.814,220.595,223.392,219.648,220.678,221.634,48.28,1.799,-0.669,0.122,-0.791,223.392,3.798,230.988,215.796,4.989,1194387730.0,-0.21
2024-09-19,$228.87,66781320,224.99,229.82,224.63,228.87,221.034,221.244,223.515,222.722,222.167,222.323,60.426,3.707,0.008,0.099,-0.091,223.515,3.939,231.393,215.637,5.181,1261169050.0,0.118
2024-09-20,$228.20,318679900,229.97,233.09,227.62,228.2,222.174,221.982,223.698,224.548,223.264,222.883,59.199,-0.293,0.486,0.177,0.309,223.698,4.072,231.842,215.554,5.364,942489150.0,-0.272
2024-09-23,$226.47,54146020,227.34,229.45,225.81,226.47,224.204,222.538,223.68,225.189,223.847,223.225,56.037,-0.758,0.716,0.285,0.431,223.68,4.058,231.796,215.564,5.064,888343130.0,-0.25
2024-09-24,$227.37,43556070,228.645,229.35,225.73,227.37,226.32,223.264,223.69,225.916,224.488,223.619,57.315,0.397,0.961,0.42,0.541,223.69,4.066,231.822,215.558,4.945,931899200.0,0.043
2024-09-25,$226.37,42308720,224.93,227.29,224.02,226.37,227.456,223.635,223.606,226.067,224.83,223.881,55.389,-0.44,1.061,0.548,0.513,223.606,3.989,231.584,215.628,4.854,889590480.0,0.201
